,id_country,country
0,0,usa
1,1,brazil
2,2,australia
3,3,england
4,4,costa rica
5,5,maldives
6,6,south africa
7,7,cuba
8,8,spain
9,9,bahamas
10,10,indonesia
11,11,egypt
12,12,new zealand
13,13,french polynesia
14,14,new caledonia
15,15,ecuador
16,16,thailand
17,17,reunion
18,18,mexico
19,19,jamaica
20,20,italy
21,21,papua new guinea
22,22,russia
23,23,seychelles
24,24,vietnam
25,25,guam
26,26,mozambique
27,27,scotland
28,28,united kingdom
29,29,taiwan
30,30,croatia
31,31,fiji
32,32,tonga
33,33,st. maartin
34,34,grand cayman
35,35,vanuatu
36,36,venezuela
37,37,turks & caicos
38,38,okinawa
39,39,marshall islands
40,40,mauritius
41,41,hong kong
42,42,japan
43,43,south korea
44,44,israel
45,45,micronesia
46,46,columbia
47,47,new britain
48,48,palau
49,49,solomon islands
50,50,federated states of micronesia
51,51,greece
52,52,british west indies
53,53,north pacific ocean
54,54,bermuda
55,55,philippines
56,56,american samoa
57,57,pacific ocean
58,58,senegal
59,59,argentina
60,60,el salvador
61,61,iraq
62,62,panama
63,63,india
64,64,Unknown
65,65,barbados
66,66,martinique
67,67,guinea
68,68,greenland
69,69,france
70,70,mediterranean sea
71,71,sweden
72,72,iceland
73,73,roatan
74,74,between portugal & india
75,75,canada
76,76,kenya
77,77,uruguay
78,78,lebanon
79,79,sudan
80,80,djibouti
81,81,libya
82,82,sri lanka
83,83,bahrein
84,84,korea
85,85,iran
86,86,red sea?
87,87,singapore
88,88,madagascar
89,89,nicaragua
90,90,kiribati
91,91,saudi arabia
92,92,burma
93,93,belize
94,94,asia?
95,95,ceylon (sri lanka)
