,year,type,country,activity,age,species,month,fatal,gender
0,2018,Boating,usa,Paddling,57,White shark,Jun,N,F
1,2018,Unprovoked,brazil,Swimming,18,Tiger shark,Jun,Y,M
2,2018,Unprovoked,usa,Walking,15,"Bull shark, 6'",May,N,M
3,2018,Provoked,australia,Feeding sharks,32,Grey reef shark,May,N,M
4,2018,Invalid,england,Fishing,21,Invalid incident,May,N,M
5,2018,Unprovoked,costa rica,Scuba diving,30,Tiger shark,Apr,N,M
6,2018,Unprovoked,australia,Surfing,60,3 m shark,Apr,N,M
7,2018,Unprovoked,maldives,Fishing,32,Tiger shark,Apr,N,M
8,2018,Unprovoked,south africa,Paddle-skiing,33,"White shark, 2.5 m",Apr,N,M
9,2018,Unprovoked,south africa,Surfing,19,White shark,Apr,N,M
10,2018,Unprovoked,usa,Stand-Up Paddleboarding,25,"Tiger shark, 12'",Mar,N,M
11,2018,Unprovoked,australia,Wading,10,Wobbegong shark,Mar,N,M
12,2018,Unprovoked,australia,Swimming,69,3.5 m shark,Mar,N,M
13,2018,Unprovoked,australia,Surfing,18,1.8 m shark,Mar,N,M
14,2018,Unprovoked,australia,Swimming,55,"Juvenile white shark,  2.7 to 3.2 m",Feb,N,F
15,2018,Unprovoked,australia,Walking,35,"Bull shark, 2 m",Feb,N,M
16,2018,Unprovoked,brazil,Surfing,20,small shark,Jan,N,M
17,2017,Unprovoked,usa,Surfing,54,Tiger shark,Dec,N,F
18,2017,Unprovoked,usa,Spearfishing,25,"White shark, 4.6 m",Nov,N,M
19,2017,Unprovoked,australia,Surfing,25,2 m shark,Nov,N,M
20,2017,Unprovoked,cuba,Night bathing,22,Tiger shark,Nov,Y,M
21,2017,Unprovoked,australia,Surfing,31,"Wobbegong shark, 1 m",Oct,N,M
22,2017,Unprovoked,australia,Kayaking / Fishing,15,"White shark, 4.5 m",Oct,N,F
23,2017,Unprovoked,usa,Surfing,54,"Tiger shark, 8 to 10 feet",Oct,N,M
24,2017,Unprovoked,usa,Snorkeling,40,8' shark,Oct,N,F
25,2017,Invalid,usa,Surfing,33,Questionable,Sep,,M
26,2017,Unprovoked,usa,Surfing,18,5' to 6' shark,Sep,N,M
27,2017,Unprovoked,australia,Surfing,35,"White shark, 3 to 3.5m ",Sep,N,M
28,2017,Unprovoked,australia,Surfing,37,"White shark, 3 m",Aug,N,M
29,2017,Invalid,spain,Swimming,11,Shark involvement questionable,Aug,,F
30,2017,Unprovoked,usa,SUP,69,"White shark, 5' to 7'",Aug,N,M
31,2017,Unprovoked,usa,Swimming,13,Possibly a juvenile blacktip shark,Aug,N,M
32,2017,Provoked,usa,Fishing,34,4' shark,Aug,N,M
33,2017,Invalid,usa,Swimming,10,A small shark,Jul,,M
34,2017,Boating,usa,Kayaking,40,"White shark, 11' to 13'",Jul,N,M
35,2017,Unprovoked,usa,SUP,50,"White shark, 8' to 10'",Jul,N,M
36,2017,Unprovoked,usa,Swimming,46,"Bull shark, 4' to 5'",Jul,N,M
37,2017,Unprovoked,south africa,Surfing,13,"White shark, 2.5 m",Jul,N,F
38,2017,Unprovoked,australia,Body boarding,48,"White shark, 4 m",Jun,N,M
39,2017,Unprovoked,bahamas,Snorkeling,32,Tiger shark,Jun,N,F
40,2017,Invalid,usa,Surfing,18,Shark involvement highly doubtful,May,,F
41,2017,Unprovoked,australia,Surfing,17,White shark,Apr,Y,F
42,2017,Unprovoked,usa,Surfing,28,"Tiger shark, 12'",Apr,N,M
43,2017,Unprovoked,usa,Swimming,17,"Bull shark, 5' to 7'",Apr,N,F
44,2017,Unprovoked,australia,Scuba Diving,55,"Bull shark, 4 m",Jan,N,M
45,2017,Unprovoked,indonesia,Surfing,48,"Bull shark, 1 m",Jan,N,M
