,year,type,country,activity,age,species,month,fatal,gender,id_country
0,2018,Boating,usa,Paddling,57.0,White,Jun,N,F,0
1,2018,Unprovoked,usa,Walking,15.0,Bull,May,N,M,0
2,2018,Unprovoked,usa,Stand-Up Paddleboarding,25.0,Tiger,Mar,N,M,0
3,2017,Unprovoked,usa,Surfing,54.0,Tiger,Dec,N,F,0
4,2017,Unprovoked,usa,Spearfishing,25.0,White,Nov,N,M,0
5,2017,Unprovoked,usa,Surfing,54.0,Tiger,Oct,N,M,0
6,2017,Unprovoked,usa,Snorkeling,40.0,Unspecified,Oct,N,F,0
7,2017,Invalid,usa,Surfing,33.0,Unspecified,Sep,Unknown,M,0
8,2017,Unprovoked,usa,Surfing,18.0,Unspecified,Sep,N,M,0
9,2017,Unprovoked,usa,SUP,25.0,White,Aug,N,M,0
10,2017,Unprovoked,usa,Swimming,13.0,Unspecified,Aug,N,M,0
11,2017,Provoked,usa,Fishing,34.0,Unspecified,Aug,N,M,0
12,2017,Invalid,usa,Swimming,10.0,Unspecified,Jul,Unknown,M,0
13,2017,Boating,usa,Kayaking,40.0,White,Jul,N,M,0
14,2017,Unprovoked,usa,SUP,50.0,White,Jul,N,M,0
15,2017,Unprovoked,usa,Swimming,46.0,Bull,Jul,N,M,0
16,2017,Invalid,usa,Surfing,18.0,Unspecified,May,Unknown,F,0
17,2017,Unprovoked,usa,Surfing,28.0,Tiger,Apr,N,M,0
18,2017,Unprovoked,usa,Swimming,17.0,Bull,Apr,N,F,0
19,2016,Invalid,usa,Surfing,19.0,Unspecified,Dec,Unknown,M,0
20,2016,Unprovoked,usa,Floating,58.0,Tiger,Nov,N,F,0
21,2016,Unprovoked,usa,Surfing,36.0,Unspecified,Oct,N,M,0
22,2016,Unprovoked,usa,Wading,60.0,Unspecified,Sep,N,M,0
23,2016,Unprovoked,usa,Swimming,51.0,Tiger,Sep,N,F,0
24,2016,Unprovoked,usa,Surfing,25.0,Bull,Aug,N,M,0
25,2016,Unprovoked,usa,SUP Foil boarding,21.0,Tiger,Aug,N,M,0
26,2016,Unprovoked,usa,Kite surfing,61.0,White,Jul,N,M,0
27,2016,Provoked,usa,Fishing,59.0,Unspecified,Jul,N,M,0
28,2016,Unprovoked,usa,Floating,42.0,Unspecified,Jun,N,M,0
29,2016,Unprovoked,usa,Floating in tube,6.0,Unspecified,Jun,N,F,0
30,2016,Unprovoked,usa,Standing,19.0,Unspecified,Jun,N,M,0
31,2016,Invalid,usa,Surfing,27.0,Unspecified,Jun,Unknown,M,0
32,2016,Unprovoked,usa,Swimming,13.0,Unspecified,May,N,M,0
33,2016,Unprovoked,usa,Swimming,22.0,Bull,May,N,F,0
34,2016,Unprovoked,usa,Swimming,48.0,Unspecified,May,N,M,0
35,2016,Provoked,usa,Teasing a shark,23.0,Unspecified,May,N,F,0
36,2016,Unprovoked,usa,Paddle boarding,48.0,Tiger,Jan,N,M,0
37,2015,Unprovoked,usa,Paddle boarding,25.0,Unspecified,Dec,N,M,0
38,2015,Invalid,usa,Surfing,9.0,Unspecified,Nov,Unknown,F,0
39,2015,Unprovoked,usa,Wading,28.0,Unspecified,Nov,N,F,0
40,2015,Unprovoked,usa,Surfing,21.0,Unspecified,Oct,N,M,0
41,2015,Unprovoked,usa,Surfing,21.0,Unspecified,Oct,N,M,0
42,2015,Invalid,usa,Surfing,32.0,Unspecified,Oct,Unknown,M,0
43,2015,Unprovoked,usa,Swimming,44.0,Tiger,Oct,N,M,0
44,2015,Unprovoked,usa,Surfing,25.0,Tiger,Oct,N,M,0
45,2015,Unprovoked,usa,Wading,13.0,Unspecified,Oct,N,M,0
46,2015,Unprovoked,usa,Surfing,14.0,Unspecified,Oct,N,M,0
47,2015,Unprovoked,usa,Surfing,22.0,Unspecified,Sep,N,M,0
48,2015,Unprovoked,usa,Surfing,14.0,Unspecified,Sep,N,M,0
49,2015,Unprovoked,usa,Spearfishing,27.0,Tiger,Sep,N,M,0
50,2015,Unprovoked,usa,Wading,12.0,Unspecified,Sep,N,M,0
51,2015,Unprovoked,usa,Stand-Up Paddleboarding,50.0,White,Sep,N,F,0
52,2015,Provoked,usa,Kayak Fishing,29.0,Unspecified,Sep,N,M,0
53,2015,Unprovoked,usa,Surfing,54.0,White,Aug,N,F,0
54,2015,Unprovoked,usa,Surfing,21.0,White,Aug,N,M,0
55,2015,Unprovoked,usa,Surfing,15.0,Unspecified,Aug,N,M,0
56,2015,Unprovoked,usa,Walking,10.0,Unspecified,Aug,N,F,0
57,2015,Boating,usa,Kayak Fishing,22.0,White,Aug,N,M,0
58,2015,Provoked,usa,Spearfishing,57.0,Unspecified,Aug,N,M,0
59,2015,Unprovoked,usa,Surfing,25.0,Unspecified,Jul,N,M,0
60,2015,Invalid,usa,Floating,35.0,Unspecified,Jul,Unknown,F,0
61,2015,Unprovoked,usa,Surfing,38.0,White,Jul,N,M,0
62,2015,Unprovoked,usa,Swimming,25.0,Unspecified,Jul,N,M,0
63,2015,Unprovoked,usa,Playing in the water,12.0,Unspecified,Jun,N,M,0
64,2015,Unprovoked,usa,Swimming,18.0,Bull,Jun,N,M,0
65,2015,Unprovoked,usa,Standing,43.0,Unspecified,Jun,N,M,0
66,2015,Unprovoked,usa,Swimming,6.0,Tiger,Jun,N,M,0
67,2015,Unprovoked,usa,Wading,16.0,Bull,Jun,N,M,0
68,2015,Unprovoked,usa,Wading,12.0,Bull,Jun,N,F,0
69,2015,Unprovoked,usa,Boogie boarding,13.0,Unspecified,Jun,N,F,0
70,2015,Unprovoked,usa,Playing,11.0,Bull,Jun,N,M,0
71,2015,Unprovoked,usa,Surfing,18.0,Unspecified,Unknown,N,M,0
72,2015,Unprovoked,usa,Wading,63.0,Unspecified,Apr,N,M,0
73,2015,Unprovoked,usa,Spearfishing,25.0,Bull,Apr,N,M,0
74,2015,Unprovoked,usa,Standing / Snorkeling,58.0,Tiger,Mar,N,M,0
75,2015,Provoked,usa,Shark fishing,20.0,Unspecified,Jan,N,M,0
76,2014,Unprovoked,usa,Surfing,50.0,White,Dec,N,M,0
77,2014,Unprovoked,usa,Surfing,44.0,Unspecified,Nov,N,M,0
78,2014,Unprovoked,usa,Snorkeling,53.0,Unspecified,Nov,N,M,0
79,2014,Unprovoked,usa,Surfing,34.0,Tiger,Oct,N,F,0
80,2014,Unprovoked,usa,Surfing,29.0,Unspecified,Oct,N,M,0
81,2014,Unprovoked,usa,Surfing,15.0,Unspecified,Oct,N,M,0
82,2014,Unprovoked,usa,Surfing,28.0,Unspecified,Oct,N,M,0
83,2014,Unprovoked,usa,Fishing ,43.0,Bull,Sep,N,M,0
84,2014,Boating,usa,Kayaking ,20.0,White,Sep,N,F,0
85,2014,Provoked,usa,Fishing,52.0,Unspecified,Sep,N,M,0
86,2014,Unprovoked,usa,Body surfing,13.0,Unspecified,Aug,N,F,0
87,2014,Unprovoked,usa,Swimming,7.0,Bull,Aug,N,M,0
88,2014,Unprovoked,usa,Boogie boarding,10.0,Unspecified,Aug,N,M,0
89,2014,Unprovoked,usa,Swimming,61.0,Unspecified,Jul,N,M,0
90,2014,Unprovoked,usa,Swimming,39.0,Unspecified,Jul,N,M,0
91,2014,Unprovoked,usa,Body surfing,19.0,Unspecified,Jul,N,M,0
92,2014,Unprovoked,usa,Standing,16.0,Unspecified,Jun,N,M,0
93,2014,Unprovoked,usa,Swimming,22.0,Bull,Jun,N,F,0
94,2014,Unprovoked,usa,Swimming,40.0,Unspecified,May,N,F,0
95,2014,Unprovoked,usa,Surfing,23.0,Unspecified,May,N,M,0
96,2013,Unprovoked,usa,Boogie boarding,29.0,Tiger,Dec,N,M,0
97,2013,Unprovoked,usa,Surfing,30.0,Unspecified,Dec,N,M,0
98,2013,Unprovoked,usa,Surfing,25.0,White,Nov,N,M,0
99,2013,Unprovoked,usa,Kiteboarding,46.0,Tiger,Oct,N,M,0
100,2013,Unprovoked,usa,Diving ,45.0,White,Oct,N,M,0
101,2013,Unprovoked,usa,Surfing,25.0,Tiger,Oct,N,M,0
102,2013,Unprovoked,usa,Wading,6.0,Unspecified,Oct,N,M,0
103,2013,Unprovoked,usa,Surfing,45.0,White,Oct,N,M,0
104,2013,Unprovoked,usa,Swimming,21.0,Bull,Sep,N,M,0
105,2013,Unprovoked,usa,Surfing,13.0,Unspecified,Sep,N,F,0
106,2013,Provoked,usa,Surfing,43.0,Unspecified,Sep,N,M,0
107,2013,Unprovoked,usa,Standing,25.0,Unspecified,Sep,N,M,0
108,2013,Unprovoked,usa,Casting a net,9.0,Unspecified,Sep,N,M,0
109,2013,Unprovoked,usa,Snorkeling,20.0,Tiger,Aug,Y,F,0
110,2013,Unprovoked,usa,Surfing,10.0,Bull,Aug,N,M,0
111,2013,Unprovoked,usa,Fishing,17.0,Bull,Aug,N,M,0
112,2013,Unprovoked,usa,Surfing,18.0,Tiger,Jul,N,M,0
113,2013,Unprovoked,usa,Swimming,14.0,Unspecified,Jun,N,M,0
114,2013,Unprovoked,usa,Swimming,28.0,Tiger,Jun,N,M,0
115,2013,Unprovoked,usa,Boogie Boarding,10.0,Unspecified,Jun,N,F,0
116,2013,Unprovoked,usa,Surfing,16.0,Unspecified,May,N,M,0
117,2013,Unprovoked,usa,Playing in the surf,9.0,Unspecified,Apr,N,M,0
118,2013,Unprovoked,usa,Surfing,21.0,Bull,Apr,N,M,0
119,2013,Unprovoked,usa,Surfing,58.0,Unspecified,Apr,N,M,0
120,2013,Unprovoked,usa,Surfing,16.0,Unspecified,Feb,N,M,0
121,2013,Unprovoked,usa,Surfing,43.0,Tiger,Jan,N,M,0
122,2012,Unprovoked,usa,Surfing,60.0,Unspecified,Dec,N,M,0
123,2012,Unprovoked,usa,Snorkeling,61.0,Tiger,Nov,N,M,0
124,2012,Unprovoked,usa,Surfing,14.0,Unspecified,Nov,N,M,0
125,2012,Unprovoked,usa,Diving,30.0,Tiger,Nov,N,M,0
126,2012,Unprovoked,usa,Surfing,43.0,Tiger,Nov,N,M,0
127,2012,Unprovoked,usa,Surfing,25.0,White,Oct,N,M,0
128,2012,Unprovoked,usa,Swimming,51.0,Tiger,Oct,N,F,0
129,2012,Unprovoked,usa,Surfing,39.0,White,Oct,Y,M,0
130,2012,Unprovoked,usa,Paddle boarding,55.0,Unspecified,Oct,N,M,0
131,2012,Unprovoked,usa,Surfing,21.0,Unspecified,Sep,N,M,0
132,2012,Unprovoked,usa,Surfing,22.0,Unspecified,Sep,N,M,0
133,2012,Unprovoked,usa,Boogie boarding,8.0,Unspecified,Sep,N,F,0
134,2012,Unprovoked,usa,Swimming or boogie boarding,56.0,Unspecified,Sep,N,F,0
135,2012,Unprovoked,usa,Free diving ,56.0,Lemon,Aug,N,M,0
136,2012,Unprovoked,usa,Body surfing,50.0,White,Jul,N,M,0
137,2012,Boating,usa,Kayaking,52.0,Unspecified,Jul,N,M,0
138,2012,Unprovoked,usa,Swimming,6.0,Bull,Jun,N,M,0
139,2012,Unprovoked,usa,Sitting in the water,16.0,Unspecified,Jun,N,F,0
140,2012,Provoked,usa,Fishing,23.0,Unspecified,Jun,N,M,0
141,2012,Unprovoked,usa,Swimming,18.0,Unspecified,Jun,N,F,0
142,2012,Unprovoked,usa,Swimming,16.0,Unspecified,Jun,N,M,0
143,2012,Unprovoked,usa,Wading,33.0,Unspecified,May,N,F,0
144,2012,Unprovoked,usa,Surfing,22.0,Unspecified,May,N,M,0
145,2012,Boating,usa,Kayaking / Fishing,30.0,White,May,N,M,0
146,2012,Unprovoked,usa,Paddle boarding,15.0,White,May,N,F,0
147,2012,Unprovoked,usa,Surfing,28.0,Unspecified,Apr,N,M,0
148,2012,Unprovoked,usa,Surfing,28.0,Tiger,Apr,N,M,0
149,2012,Unprovoked,usa,Surfing,61.0,Bull,Mar,N,M,0
150,2012,Unprovoked,usa,Surfing,15.0,Unspecified,Mar,N,F,0
151,2012,Unprovoked,usa,Surfing,17.0,Unspecified,Mar,N,M,0
152,2012,Unprovoked,usa,Kite Surfing,19.0,Unspecified,Mar,N,M,0
153,2011,Invalid,usa,Surfing,27.0,Unspecified,Sep,Unknown,M,0
154,2011,Unprovoked,usa,Spearfishing,21.0,Bull,Sep,N,M,0
155,2011,Unprovoked,usa,Surfing,25.0,Unspecified,Sep,N,M,0
156,2011,Unprovoked,usa,Surfing,19.0,Unspecified,Sep,N,M,0
157,2011,Unprovoked,usa,Surfing,19.0,Unspecified,Aug,N,M,0
158,2011,Unprovoked,usa,Wading,20.0,Tiger,Aug,N,F,0
159,2011,Unprovoked,usa,Playing in the surf,10.0,Bull,Jun,N,F,0
